index,label,run_id,status,fault,start_raw_mm,baseline_force_N,overshoot_um,undershoot_5_25_um,rms_endpoint_error_5_25_um,maxabs_endpoint_error_5_25_um,rms_native_fe_0_25_um,F5_N,F7_5_N,peak_recorded_force_N,static_force_N,peak_abs_command_A,peak_abs_Iq_A
1,A,953a17d3-f55d-4333-a2bd-18ddff315942,COMPLETE,0,0.0028,5.031122820675373,1.79999999999999,5.6000000000000085,1.8353160744590347,5.6000000000000085,2.52041416481281,15.425275325775146,20.567034244537354,20.596331119537354,20.16035341322422,1.1145166158676147,1.0240240097045898
2,B,1f6f10b6-ba75-4e00-9e02-063dbb10031e,COMPLETE,0,0.0028,4.9718863606452945,1.79999999999999,5.6000000000000085,1.8282292964090867,5.6000000000000085,2.498019115717004,13.154698848724365,20.24475860595703,20.625629425048828,20.150822432041167,1.1112920045852661,1.0240240097045898
3,A,736ce299-84fe-44e5-a46a-d6a87a96ae24,COMPLETE,0,0.0028,4.978899508416653,1.8999999999999915,5.6000000000000085,1.8209273454796444,5.6000000000000085,2.4754013695355566,14.121524333953857,20.405895709991455,20.405895709991455,20.156645373702048,1.1137322187423706,1.034874677658081
4,C,21a23361-80c9-42b5-9c98-7f19678bf414,COMPLETE,0,0.0028,4.989208623468876,1.5999999999999943,5.500000000000007,1.7532224102708112,5.500000000000007,2.4435619543763614,15.469222068786621,20.713522911071777,20.713522911071777,20.163722668290138,1.1105366945266724,1.0240240097045898
5,C,bf320917-4b2a-4c6a-9c74-25ebc9725304,COMPLETE,0,0.0028,4.991753852516413,1.6999999999999886,5.400000000000013,1.7370461112321112,5.400000000000013,2.425353233749202,4.995269536972046,4.995269536972046,20.376598834991455,20.162486625015735,1.1101438999176025,1.0240240097045898
6,A,e2ba102e-7c04-4f49-aa07-7365b7b29018,COMPLETE,0,0.0028,4.994170939475298,1.999999999999993,5.6000000000000085,1.8018796259282748,5.6000000000000085,2.4636764179853885,15.190893173217773,20.8600115776062,20.8600115776062,20.17511218249798,1.1156545877456665,1.034874677658081
