index,label,run_id,profile_id,status,rows,start_raw_mm,baseline_force_N,static_force_N,overshoot_um,undershoot_5_25_um,rms_endpoint_error_5_25_um,maxabs_endpoint_error_5_25_um,endpoint_error_at_5ms_um,compression_velocity_at_5ms_mm_s,compression_velocity_fit_4_5_to_5_5ms_mm_s,rms_native_fe_0_5_um,peak_abs_command_A,peak_abs_Iq_A,F5_N,F7_5_N,peak_recorded_force_N
1,A,14de369a-c958-4590-9ebd-2a7fcf23ecc0,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0035,4.997906401008367,20.14154781371355,1.3999999999999915,5.400000000000006,1.746567174319369,5.400000000000006,1.3999999999999915,-0.0,-0.2533333333333371,4.24381903478459,1.1012227535247803,1.0131734609603882,11.29429006576538,20.464492321014404,20.464492321014404
2,P,652cca96-1c0e-4fdf-8975-aae3bd2cafc0,874829fba173c35ab5a45c6391343e2e870497b9bfff9acd31bd832937c9d461,COMPLETE,16000,0.0035,4.957713480591774,20.14027527987957,1.3999999999999915,5.400000000000006,1.7387794676919464,5.400000000000006,1.3999999999999915,-0.0,-0.18666666666666867,4.102022106943557,1.1038103103637695,1.0131734609603882,15.513168811798096,20.610980987548828,20.610980987548828
3,A,c4252916-b2c9-4747-be6e-f9a84ef2d5e9,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0035,4.9554245719313625,20.146052385270597,1.5999999999999943,5.400000000000006,1.741242506326593,5.400000000000006,1.5999999999999943,-0.0,-0.44000000000000533,4.1567459130148725,1.1075212955474854,1.0240240097045898,14.004333972930908,20.625629425048828,20.640277862548828
4,M,2c96c19e-a6a2-47f0-9719-5e0160a3cb76,90769625f5b49fd4b8a2d2adc216f82bfb132b3e04753b1964fb9c48a4385274,COMPLETE,16000,0.0035,4.962987150102854,20.144953705966472,1.7999999999999972,5.5,1.7524960017143694,5.5,1.6999999999999957,-0.8,-0.7333333333333323,4.127244400500583,1.1112996339797974,1.034874677658081,14.678182125091553,20.581682682037354,20.596331119537354
6,A,d4ae7aed-6fac-42b7-b0ce-19b6cc85187f,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0035,4.974394985586405,20.15047448694706,1.6999999999999957,5.400000000000006,1.717086221821056,5.400000000000006,1.6999999999999957,-0.0,-0.4799999999999937,4.109477445862038,1.1098884344100952,1.0240240097045898,8.672139644622803,8.672139644622803,20.34730052947998
