index,label,run_id,status,fault,start_raw_mm,baseline_force_N,overshoot_um,undershoot_5_25_um,rms_endpoint_error_5_25_um,maxabs_endpoint_error_5_25_um,rms_native_fe_0_25_um,F5_N,F7_5_N,peak_recorded_force_N,static_force_N,peak_abs_command_A,peak_abs_Iq_A
2,M,78b41617-59f8-448a-a2de-eacd727f0777,COMPLETE,0,0.0028,5.022882873415947,1.6999999999999886,5.400000000000013,1.761210763661546,5.400000000000013,2.4484130305484006,14.004333972930908,20.654927730560303,20.669576168060303,20.226328386068346,1.1149989366531372,1.0240240097045898
3,E,fa9455a2-64db-4279-b43a-77e293c4a1ce,COMPLETE,0,0.0028,5.040552982538938,1.499999999999993,5.300000000000011,1.7320687376086612,5.300000000000011,2.436793015215896,5.0392162799835205,5.0392162799835205,20.405895709991455,20.221219567358492,1.112117886543274,1.0240240097045898
5,M,946d0188-c871-4747-a1ca-d6ba072bcc77,COMPLETE,0,0.0028,5.042146039009094,1.499999999999993,5.400000000000013,1.7459802991354063,5.400000000000013,2.426798968565556,14.839320659637451,20.625629425048828,20.640277862548828,20.219232826530934,1.1101033687591553,1.034874677658081
6,L,7a70df15-db12-4c1a-ad99-45fb52272f4a,COMPLETE,0,0.0028,5.042439014911651,1.6999999999999886,5.400000000000013,1.743541765544713,5.400000000000013,2.4239784738712196,14.927212715148926,20.596331119537354,20.610980987548828,20.21586355537176,1.1133471727371216,1.0240240097045898
7,M,282a7f3a-c920-48fa-85d3-47f00cf19fa9,COMPLETE,0,0.0028,5.038941615074873,1.5999999999999943,5.400000000000013,1.7455533568869066,5.400000000000013,2.429319254400499,10.86947250366211,20.376598834991455,20.53773593902588,20.220715926289557,1.114369511604309,1.0240240097045898
8,E,55754a1e-72a9-451e-8389-faf7f6bfef41,COMPLETE,0,0.0028,5.025006948709488,1.5999999999999943,5.500000000000007,1.7498890825541638,5.500000000000007,2.4498350030744027,14.575640201568604,20.083620071411133,20.640277862548828,20.201828100979327,1.11257803440094,1.0240240097045898
9,M,7b0c3ec2-ec52-43a9-9c1c-16a36b3623b2,COMPLETE,0,0.0028,5.021106707006693,1.6999999999999886,5.400000000000013,1.7512018942812333,5.400000000000013,2.4488803411708653,12.349009037017822,20.068971633911133,20.728171348571777,20.20441914528608,1.1130285263061523,1.0240240097045898
