试次,配方,状态,行数,RMS5至25_um,首次回摆5至9_um,最大回摆5至25_um,过冲0至25_um,5ms终点误差_um,5ms局部拟合速度_mm_s,RMS10至25_um,最大偏差10至25_um,原始F5_N,原始F7_5_N,稳态100至300ms_N,原生FE_RMS0至5_um,保持段命令峰值_A,保持段Iq峰值_A
1,C 前基准,COMPLETE,16000,1.590636420934242,4.700000000000003,4.700000000000003,1.0,1.0,-0.10666666666666628,0.7204222820421476,1.8000000000000043,15.454573631286621,20.50843906402588,20.15085902273655,4.251570728393988,1.0882569551467896,1.0131734609603882
2,T 尾段候选,COMPLETE,16000,1.5784063037213647,4.600000000000001,4.600000000000001,0.79999999999999,0.79999999999999,-0.10666666666666534,0.8109274355854117,1.9000000000000128,15.57176399230957,20.44984245300293,20.116836972534657,4.230233805451005,1.100799560546875,1.0131734609603882
3,C 后基准,COMPLETE,16000,1.688488610805501,4.900000000000006,4.900000000000006,0.6999999999999957,0.6999999999999957,-0.06666666666666288,0.8451123452139764,2.000000000000007,10.224921226501465,20.25940704345703,20.119711900055407,4.243876506789288,1.0829473733901978,1.0023229122161865
