index,label,run_id,profile_id,status,rows,start_raw_mm,baseline_force_N,static_force_N,overshoot_um,undershoot_5_25_um,rms_endpoint_error_5_25_um,maxabs_endpoint_error_5_25_um,endpoint_error_at_5ms_um,compression_velocity_at_5ms_mm_s,compression_velocity_fit_4_5_to_5_5ms_mm_s,rms_native_fe_0_5_um,peak_abs_command_A,peak_abs_Iq_A,F5_N,F7_5_N,peak_recorded_force_N
1,A,72019f1d-ee76-440d-88f9-6a2d0d1d7a8c,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0035,4.834607852697372,20.00166029959917,1.5,5.70000000000001,1.8745931235556148,5.70000000000001,1.5,-0.0,-0.1333333333333325,4.269003425145316,1.100182056427002,1.0131734609603882,15.57176399230957,20.567034244537354,20.581682682037354
2,B,80952611-0922-44e4-ba29-79d6c972347e,6c1ed40815d2c0ba2988edb95e25273a3cd0cc87948b650feb6a34d1d2fa45f8,COMPLETE,16000,0.0035,4.852607841789722,20.033887829482556,1.0999999999999943,5.20000000000001,1.6820757658285146,5.20000000000001,1.0999999999999943,-0.0,-0.4799999999999982,4.129991436830431,1.0914201736450195,1.0023229122161865,4.863429665565491,4.848780870437622,20.215460300445557
3,A,820522a1-bdb6-41fc-a1a3-09c5bff21461,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0035,4.859913954734802,20.030372090041638,1.5,5.300000000000004,1.7120508206307332,5.300000000000004,1.5,-0.0,-0.29333333333333206,4.088621927776239,1.0968928337097168,1.0131734609603882,11.177098989486694,20.083620071411133,20.215460300445557
4,D,6e4ef1fc-e8ec-4de4-b8fe-90bba54d6b4c,1b0325020da90b90f59135eff92e4c861e10dbb66304a634c919dc2a43f90cfd,COMPLETE,16000,0.0035,4.846327110081911,20.02291948735714,1.8999999999999986,5.100000000000001,1.677509245006045,5.100000000000001,1.8999999999999986,-0.0,-0.07999999999999764,4.127539868475369,1.0956956148147583,1.0131734609603882,11.191748142242432,20.25940704345703,20.44984245300293
5,A,c2aef625-91eb-46b4-b3e8-355e0cda7c6a,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0035,4.835285367518663,20.02211384475231,1.5,5.400000000000006,1.715312839293745,5.400000000000006,1.5,-0.0,-0.4133333333333345,4.161320147003071,1.096770167350769,1.0131734609603882,12.422254085540771,19.761345863342285,20.53773593902588
