index,label,run_id,reference_end_ms,rebound_um,peak_um,valley_um,peak_time_ms,valley_time_ms,endpoint_error_um,rms_endpoint_error_after_end_um,maximum_retreat_0to50_um,max_target_undershoot_after_end_um,static_force_100to300_N,baseline_force_N,baseline_command_A,baseline_Iq_A,peak_abs_command_0to300_A,peak_abs_Iq_0to300_A,F5_raw_N,Fend_raw_N,Fend_plus_assumed2p5ms_raw_N,terminal_velocity_mean_mm_s,terminal_velocity_tracking_rms_mm_s
1,A0,7cc24525-1bc3-4676-8544-6af4ab8385a8,5.0,3.5000000000000036,27.900000000000006,24.400000000000002,5.125,7.375,-0.8999999999999986,1.895729099812462,3.5000000000000036,4.299999999999997,17.939005579948425,7.9430097904801364,-0.11018551886081696,-0.10991643941029906,0.9068487882614136,0.8605871200561523,12.202520370483398,12.202520370483398,17.871638774871826,4.300000000000001,3.694604502054238
2,B8,af356aee-7663-4f70-9552-093ee09b4a02,8.0,0.5999999999999979,26.0,25.400000000000002,7.5,9.0,-2.799999999999997,1.8654758106177611,0.5999999999999979,3.299999999999997,17.933182615041733,7.938413735926151,-0.1095321774482727,-0.1092518410179764,0.8767598271369934,0.8605871200561523,9.433881282806396,15.469222068786621,17.007355213165283,0.3999999999999986,0.6002964580405201
3,A1,5a7c4561-046e-41ab-ae3e-93ac63468b78,5.0,3.3999999999999986,27.8,24.400000000000002,5.125,7.375,-1.0,1.926184398079197,3.3999999999999986,4.299999999999997,17.9308753824234,7.937003801465035,-0.1093149185180664,-0.10936034687794745,0.9062583446502686,0.8605871200561523,12.891018390655518,12.891018390655518,18.047425746917725,4.199999999999999,3.6086776064404043
