index,label,run_id,profile_id,status,rows,start_raw_mm,baseline_force_N,static_force_N,overshoot_um,undershoot_5_25_um,rms_endpoint_error_5_25_um,maxabs_endpoint_error_5_25_um,endpoint_error_at_5ms_um,compression_velocity_at_5ms_mm_s,compression_velocity_fit_4_5_to_5_5ms_mm_s,rms_native_fe_0_5_um,peak_abs_command_A,peak_abs_Iq_A,F5_N,F7_5_N,peak_recorded_force_N
1,A,7bee92b7-3a48-40be-81ee-40b7f192d219,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0009000000000000001,5.005359129756689,20.214783202707768,1.1999999999999886,5.500000000000007,1.8550083289896941,5.500000000000007,1.1999999999999886,-0.0,-0.25333333333333236,4.289976974183474,1.105604648590088,1.0240240097045898,13.447676181793213,20.200811862945557,20.610980987548828
2,C,80ed21ca-1d64-440d-802d-b0758b572f62,e324c9a7f282826e962e87e411c4b4b6f2bcbcc1d2dcb3d282ec2f4286b0c84b,COMPLETE,16000,0.0009000000000000001,5.120774007886649,20.323724911808966,1.0999999999999943,5.000000000000007,1.6496564671553124,5.000000000000007,1.0999999999999943,-0.0,-0.1999999999999994,4.181113167216737,1.1051477193832397,1.0240240097045898,12.275765419006348,20.171513557434082,20.684224605560303
3,A,9de2cbae-a0f2-4c56-a80f-ebf273f1d560,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0009000000000000001,5.139103466570377,20.327103340029716,1.29999999999999,5.300000000000011,1.755028268604954,5.300000000000011,1.29999999999999,-0.0,-0.3333333333333316,4.1694592267945785,1.1107155084609985,1.0240240097045898,12.392955780029297,20.156865119934082,20.786766529083252
4,C,dc5f7e2f-5fad-47dc-8042-db0f5b70b53d,e324c9a7f282826e962e87e411c4b4b6f2bcbcc1d2dcb3d282ec2f4286b0c84b,COMPLETE,16000,0.0009000000000000001,5.137473788559436,20.334308769106865,0.9999999999999929,5.000000000000007,1.6579752674806876,5.000000000000007,0.9999999999999929,-0.0,-0.19999999999999832,4.174662247182254,1.103872537612915,1.0240240097045898,5.141758561134338,5.141758561134338,20.50843906402588
5,A,24c83a45-e620-4b37-b086-78ae1de0592e,cf2285a0eb934c2c3662ad1b8b19a84d8c76037b9cdd36ca9fbde99497aa011b,COMPLETE,16000,0.0009000000000000001,5.1524704925715925,20.350065537393093,1.1999999999999886,5.300000000000011,1.7464782665134269,5.300000000000011,1.0999999999999943,-0.8,-0.42666666666666425,4.193490891090446,1.1121299266815186,1.0240240097045898,11.836298704147339,20.610980987548828,20.610980987548828
