t_ms,run1_endpoint_error_um,run2_endpoint_error_um,run3_endpoint_error_um,run4_endpoint_error_um,run5_endpoint_error_um,run6_endpoint_error_um,mean_error_um,run1_leave_one_out_residual_um,run2_leave_one_out_residual_um,run3_leave_one_out_residual_um,run4_leave_one_out_residual_um,run5_leave_one_out_residual_um,run6_leave_one_out_residual_um
11.75,-0.7000000000000028,-0.8999999999999986,-0.7000000000000028,-0.8999999999999986,-0.8999999999999986,-0.8000000000000043,-0.8166666666666677,0.13999999999999768,-0.0999999999999972,0.13999999999999768,-0.0999999999999972,-0.0999999999999972,0.01999999999999602
11.875,-0.8999999999999986,-1.1000000000000014,-1.000000000000007,-1.1000000000000014,-1.1000000000000014,-1.1000000000000014,-1.0500000000000018,0.18000000000000393,-0.05999999999999939,0.059999999999993836,-0.05999999999999939,-0.05999999999999939,-0.05999999999999939
12.0,-1.1000000000000014,-1.3000000000000043,-1.2000000000000028,-1.3000000000000043,-1.3000000000000043,-1.3000000000000043,-1.2500000000000036,0.1800000000000026,-0.06000000000000094,0.06000000000000094,-0.06000000000000094,-0.06000000000000094,-0.06000000000000094
12.125,-1.3000000000000043,-1.500000000000007,-1.3999999999999986,-1.500000000000007,-1.500000000000007,-1.500000000000007,-1.4500000000000053,0.18000000000000105,-0.060000000000002274,0.06000000000000805,-0.060000000000002274,-0.060000000000002274,-0.060000000000002274
12.25,-1.500000000000007,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.5833333333333357,0.09999999999999432,-0.019999999999998908,-0.019999999999998908,-0.019999999999998908,-0.019999999999998908,-0.019999999999998908
12.375,-1.6000000000000014,-1.7000000000000028,-1.7999999999999972,-1.7999999999999972,-1.7000000000000028,-1.7999999999999972,-1.7333333333333332,0.15999999999999792,0.03999999999999626,-0.07999999999999696,-0.07999999999999696,0.03999999999999626,-0.07999999999999696
12.5,-1.7000000000000028,-1.7999999999999972,-1.9000000000000057,-1.9000000000000057,-1.7999999999999972,-1.9000000000000057,-1.8333333333333357,0.15999999999999948,0.04000000000000625,-0.08000000000000407,-0.08000000000000407,0.04000000000000625,-0.08000000000000407
12.625,-1.7999999999999972,-1.9000000000000057,-2.000000000000007,-1.9000000000000057,-1.9000000000000057,-1.9000000000000057,-1.9000000000000046,0.12000000000000877,-1.3322676295501878e-15,-0.12000000000000322,-1.3322676295501878e-15,-1.3322676295501878e-15,-1.3322676295501878e-15
12.75,-1.7999999999999972,-2.000000000000007,-2.000000000000007,-2.000000000000007,-1.9000000000000057,-2.000000000000007,-1.9500000000000053,0.1800000000000097,-0.060000000000002274,-0.060000000000002274,-0.060000000000002274,0.05999999999999939,-0.060000000000002274
12.875,-1.7999999999999972,-2.000000000000007,-2.000000000000007,-2.000000000000007,-1.9000000000000057,-2.000000000000007,-1.9500000000000053,0.1800000000000097,-0.060000000000002274,-0.060000000000002274,-0.060000000000002274,0.05999999999999939,-0.060000000000002274
13.0,-1.7999999999999972,-2.000000000000007,-2.1000000000000014,-2.000000000000007,-1.9000000000000057,-2.000000000000007,-1.966666666666671,0.20000000000000862,-0.040000000000003366,-0.1599999999999966,-0.040000000000003366,0.0799999999999983,-0.040000000000003366
13.125,-1.7999999999999972,-1.9000000000000057,-2.000000000000007,-2.000000000000007,-1.9000000000000057,-2.000000000000007,-1.9333333333333382,0.16000000000000947,0.03999999999999915,-0.08000000000000251,-0.08000000000000251,0.03999999999999915,-0.08000000000000251
13.25,-1.7999999999999972,-1.9000000000000057,-2.000000000000007,-1.9000000000000057,-1.9000000000000057,-1.9000000000000057,-1.9000000000000046,0.12000000000000877,-1.3322676295501878e-15,-0.12000000000000322,-1.3322676295501878e-15,-1.3322676295501878e-15,-1.3322676295501878e-15
